Roman Urdu,English
kiya yeh jo shape ha yehi ha ya change ha please bataein,please tell is it the same shape or is it changed
koe nh,no one
koi achi quanlity nhi bs guzara,not good quality but acceptable
koi bt ni haaar admi ka apna zaaarf ha,no worries every ma has his principles
koi compare he nahi kar sakta,no one can compare
koi hal ni,any solution
koi hall ni tera,you are hopeless
koi iska link hi dedo download karnay ky liy,somebody share the link
koi leather nhi hali mayar ki rexine,its no leather only poory quality rexine
koi machine ka hi bata day k kesi hi achi hi ya nahi mn lun ya nahi,someone tell me about the machine is it good or not should i purchase or not
koi nahi janta tha ke 15 april 1990 ko paris mein british lawyers ke ghar mein paida hone wali actress apne career ke mukhtasir se arsey he mein itni shohrat hasil kar lengi,no one knows that the girl born in british lawyer house on 15 april 1990 become so famous in a very short time
koi nawa kam daso,tell me somethin new
koi ni perfectly imperfct tou mil jye ga,no issueperfectly imperfect will be found
koi or bat karo,change the subject
koi shak nhe,no doubt
koi shak ni and same goes fr u,no person and same goes for you
koi shaqq nhi,there is no doubt
koi sir nahi uthata saeenjab ishq faisle farma de,the world is moving and i seem to be stuck
koi teacher ko bi tag kri,someone tag the teacher
koi to roklo bc,somebody stop this
koi uv light nahi sirf aik blue light bohat bura miyaar,its not uv light it is blue light very bad quality
kon h hmary group main,who is in our group
kon hain ye log kahan se atay hain,who are these people where do they come from
kon shaikh uzair fezan jnuu,sheik uzar fezan who
kon si jaga hai,which place is this
konsa jam session merko nhi yaad,which jam session i do not remember
konsi baat,which thing
konsi behan aese karti he,which sister does that
konsi jaga par ha shoap,the shop is in which place
kota hona chahye,there should be a kota system
kr dun riaz chaudary ko tag,should i tag riaz chaudhary
ksi ny liya hai in sy,anybody purchased from here
kub he,when
kuch aur sochte hain,lets think something else
kuch khaas nhi hai,nothing special
kuch khaas ny,nothing special
kuch khass nahi,nothing special
kuch ni jahil awam larkian nachany se agay ni ja skti,nothing just illiterate people nation wont progress by girls dancing
kuch ni kuch ni hrha h,nothing nothing is happening
kuch parhti to nazar ata na,you could have seen if you would have read anything
kuch rha to nhe bahen,is anything left sister
kuch to hua h kuch ho rha h,something has happened and something is happening
kuch yaad aya haha,remember anything
kuchsamajh ni ai,didnt understood anything
kuin nahi leine di picture,why didnt you let me take the picture
kun iss beqaar cheez ko istamal kare gah,who will use this useless thing
kurri ya 50 years ki aunty,girl or a 50 year old woman
ky howa h is ko,what happened to him
kya aap ek kamyab aurat hai,are you a successful woman
kya aap kis app ki setting bta sakti h mujhy,can you please tell me the setting of this app
kya aesa nahi hua kya,what its not like this
kya baat hai aaj kal free ho kya,great are you free these days
kya baat hai fahad bhai,great fahad brother
kya baat hay bhai,fantastic brother
kya bat h is ghazal ki,beautiful poem
kya bat h tmhari,you are amazing
kya bt hai,great comment
kya cheez ha har kici ne like ki,what a product everyone loved it
kya ho ra yahan,what is happening here
kya karun mar jaun,what should i do die
kya kehne bhai y,what to say brother
kya kisi ko ya phone mila h darz sy kyu k ya phely order ki list may show ho rha hai,anyone got this phone from daraz its being showed in the list
kya koi mujhe waqt adjust karne ka tareeqa bta sakta hai musalsal ghalat waqt dena,can anyone tell me how to adjust time continiously showing incorrect time
kya matlab o,what do you mean
kya matlbbbb,what
kya mein sirf ek piece khareed sakta hun,can i only buy one piece
kya ya kaam karta hai ios p,does it work on ios
kya yeh original hai ya st copy hai,is it orignal or 1st copy
kyun,why
kyun ke wo chahe kisi bhi brand ke malbosat zebtan kar len srk brand se ziyadah maqboliyat koi bhi hasil nahi kar sakta,why no one can gain more popularity than a circular brand even if the apparel of any brand
laanat is oorat ki soch py,shame on this womens way of thinking
lag raha ke jeet jain ge,looks like they will win
lagay raho nawab imran sahbasss log chand tak phonch gai ha aur tum log election imran nawaz lagay raho,keep going mr imran nations have reached the moon and we are still stick in this election wars
lagta h uh ka shanakhti card nhi bana abhi tak jbhi,it seems like his identity card is not made yet
lagta hai ap par chance marna he parrega,feels like i should take a chance on you
lahnat tery poray khandan par haram k harami,shame on you whole family
lahore hai karachi us ka shoher hai,karachi is better then lahore
lahore may din may mila,received in daytime in lahore
lajawab,speechless
lajawab product,priceless product
lajwab,speechless
lakh d lanat begharto,shame on you
lakhtee laanat zoog,shame on zong
lakin ghar ke istemaal ke liye theek hai,but it is good for home use
lakin jhot nahi,but no lies
lala bahadar ha,lala is brave
lamp bohat acha hai parhai ke lia bhi ur dosray kamon ke lia bhi ur kaafi adjustable bhi hia miyaar bhi buranhi hai,lamp is very nice for studying also for some other work its adjustable and quality is good too
lamp bohat acha hai yeh bohat achi narm se light deta hai aur kamray mein bhi acha lagta hai,lamp is very good and light is also warm seems nice in room
lamp saal mein bohat acha hai mein aur order karoon gi,lamp is very good and i will order again
lanat,curse
lanat dono pa,curse on both
lanat hai kanjron pe,shame on you
lanat he lanat he aur lanat he,shame and shame and shame on him
lanat ho is kameeny py,shame on him
lanat hy police walo py,shame on policemen
lanat patwarion pr,shem on thsese patwaris
lanut randi ka bacha,shame son of a bitch
laptop aur mobile ke liye yeh bohat chotay pechkas hai,screwdrivers are very small for laptop and mobile
larki kon hai bc,who is the girl
last line check kar aunty ki,chekc aunties last line
last version yhi rh gya h,this is the last version remaining
laughing gas ko bhej do,send it to laughing gas
ldr ki jaga switch laga liya,placed switch instead of ldr
lekan fuj kisi b larai k lye tayar hy,but army is ready for any battles
lekin 5 baras bad angelina ne dobarah los angeles ka rukh kiya,but two years later angina again turned to lux angelis
lekin bijli kharaknay ki awaaz nahi arahi,but the sound of lightning is not coming
lekin bushra ko sab se ziyada shohrat anwar maqsood ke show shosha se mili,but bushra got real famous from the show shosha host by anwar maqsood
lekin dam mast qalandar mast mast ki release ke bad unhe university of washington mein mauseeqi ki tadrees ki dawat di gai,but after dam mast qalandar mast mast he was being invited by university of washington
lekin hard bht ha,but it is too hard
lekin hum kuch nahi kar sakty,but we cant do anything
lekin is se phele wo alamgeer hum chale to humare sang sang nazare chale tahira syed ye mehfil jo aaj saji hai ko filmi duniya se mutarif karw gaye,but before it is the universal we go we go out of our views tahira syed this game that is decorated today has been introduced to the film world
lekin jab aap quomi satah se benul aqwami satah par jate hain to zahir hai ke aap ko apni practice aur training ka aur izyadah khayal rakhna parta hai,but when you go to intrernational level from the national stations obviously you have to take care of your practice and training and care
lekin peechay k larky tamasha dekha rhy thy,but the boys behind you kept watching the spectacle
lekin release ke aitebar se punjabi film nooran munir hussain ki pehli film banti hai,but in terms of punjabi film nora becomes the first film of munir hussein
lekin top of the list attaullah esakhelvi ka naam he samjha jata hai,but attaullah esakhelvi is considered at top of the list
lekin ye ziada waqt nahi leta,but it does not take much time
lelo test fer,take my test then
lena ka koi fida nahi ha pasa zaya ha asa lagta bnda na bnyan pani ksm sa,waste of money it feels like you are wearing a low quality product
length bhi poori h aur strong bhi h cable thanx,the cable is strong and length is complete
level h januu tra,you have a good level
level ho gya ya tu,its rediculious
level kapray bhai jee eay love your website,good clothes bro your website rock
level kr diya yr,you raised the level
lewis aur martin ki jorhi ne 1949 mein my friend irma ke zariye silver screen ka rukh kiya,lavas and martins couple turned to the silver screen in 1949 through my friend irma
light achi hai lkin handle loose hai,light is good but handle is loose
like khula hua button d,like an open button
lipstick bohat oily hai lips per lugti hi nahi,lipstick is very oily
lipsticks itni kaam price may achi hain,lipstick are great in these low prices
lkn phr b roub tou bari ka hi hota,still the adult one has the control
lo gi nawi dramy bazi,new dramatisation
lol bcmai tairi baat kar raha tha,lol man i am talking about you
lol dil tu jawan hona chaiye,lol you should be young at heart
lol hum uni jate hi iz liye hai,lol that is why we go to university
lol ni pagli pyar kehte hn isko,lol stupid its called love
lol tum yeh khareed lo,lol you should buy it
lol ye waqt batye g kay go pti hota kay nawaz,only time tell pti will go or it will be nawaz who has to go
lol yeh us dost walay joke ki video hay,lol its the video of that joke on friends
lololol video ka caption parh lijiye dost,lolololread the caption of the video friend
lolx,lol
lolz allah muaf kary esi auntiyan jab tak is mulk me hein yeh mulk agy nahe barh saktah,may allah forgive us till aunties like them are in the country the country dont make progress
looks achi ha lakin quality achi nai h,looks good but the quality isnt good
lota sialkot ka,pot from sialkot
lovly so cute gir,lovely so cute girl
m ap sa bat karta hu,i talk to you
m bilkul hosh m hun p d,i am completely in my senses
m n ye abhi order kia h eay hope jsa picture m dikhaya gya hai same wsa hi deliver ho,i have just ordered it i hope it is delivered same as shown in picture
ma ball bna rahi,i am doing my hairs
ma hun hero tara,i am your hero
ma kb karteeee jotha,when did i do liar
ma ni krti ma ni karti,i dont do it
ma tum se kuch poch raha hon,i am asking somthing to you
maa baap ne in ka naam joseph rakha tha,mother father named him joseph
maa ne apni beti ke liye mohammed ali se rabta kiya,he contacted mohammed ali for his daughter
maa pyari maa,mother beautiful mother
maa pyari maa very nice,mother beautiful mother very nice
maal banane k lia karein ge,will do it for making fortune
